mysql: [Warning] Using a password on the command line interface can be insecure.
root_ar	freq	past_3ms	present_3ms	imperative_2ms	masdar	active_participle	passive_participle
ق و ل	1620	قَالَ	يَقُولُ	قُلْ	قَوْل	قَائِل	مَقُول
ك و ن	1358	كَانَ	يَكُونُ	كُنْ	كَوْن	كَائِن	مَكُون
ا م ن	558	أَمَنَ	يَأْمَنُ	اِئْمَنْ	أَمْن	آمِن	مَأْمُون
ا ت ي	535	أَتَى	يَأْتِي	اِئْتِ	إِتْيَان	آتٍ	مَأْتِيّ
ر ا ي	315	رَأَى	يَرَى	رَ	رُؤْيَة	رَاءٍ	مَرْئِيّ
ج ي ا	278	جَاءَ	يَجِيءُ	جِئْ	مَجِيء	جَاءٍ	مَجِيء
ا خ ذ	260	أَخَذَ	يَأْخُذُ	خُذْ	أخْذٌ	آخِذ	مَأْخُوذ
ش ي ا	236	شَاءَ	يَشَاءُ	شَأْ	مَشِيئَة	شَاءٍ	مَشِيء
ه د ي	184	هَدَى	يَهْدِي	اِهْدِ	هَدْي	هَادٍ	مَهْدِيّ
و ق ي	182	وَقَى	يَقِي	قِ	وَقْي	وَاقٍ	مَوْقِيّ
د ع و	173	دَعَا	يَدْعُو	اُدْعُ	دُعَاء	دَاعٍ	مَدْعُوّ
ر و د	147	رَادَ	يَرُودُ	رُدْ	رَوْد	رَائِد	مَرُود
ط و ع	119	طَاعَ	يَطُوعُ	طُعْ	طَوْع	طَائِع	مَطُوع
س ا ل	115	سَأَلَ	يَسْأَلُ	اِسْأَلْ	NULL	سَائِل	مَسْؤُول
و ل ي	109	وَلَى	يَلِي	لِ	وَلْي	وَالٍ	مَوْلِيّ
و ج د	106	وَجَدَ	يَجِدُ	جِدْ	وُجُود	وَاجِد	مَوْجُود
ل ق ي	105	لَقَى	يَلْقَى	اِلْقَ	لَقْي	لَاقٍ	مَلْقِيّ
ق و م	97	قَامَ	يَقُومُ	قُمْ	قَوْم	قَائِم	مَقُوم
ا ك ل	93	أَكَلَ	يَأْكُلُ	كُلْ	أَكْلٌ	آكِل	مَأْكُول
ل ي س	89	لَيْسَ	NULL	NULL	NULL	NULL	NULL
خ و ف	87	خَافَ	يَخَافُ	خَفْ	خَوْف	خَائِف	مَخُوف
ا م ر	79	أَمَرَ	يَأْمُرُ	مُرْ	أَمْر	آمِر	مَأْمُور
و ع د	76	وَعَدَ	يَعِدُ	عِدْ	وَعْدٌ	وَاعِد	مَوْعُود
ج ز ي	74	جَزَى	يَجْزِي	اِجْزِ	جَزَاء	جَازٍ	مَجْزِيّ
و ح ي	72	وَحَى	يَحِي	حِ	وَحْي	وَاحٍ	مَوْحِيّ
ح ي ي	71	حَيَّ	يَحْيَا	اِحْيَ	حَيَاة	حَيّ	مَحِيي
ن ج و	67	نَجَا	يَنْجُو	اُنْجُ	نَجْو	نَاجٍ	مَنْجُوّ
ب غ ي	65	بَغَى	يَبْغِي	اِبْغِ	بَغْي	بَاغٍ	مَبْغِيّ
ص و ب	64	صَابَ	يَصُوبُ	صُبْ	صَوْب	صَائِب	مَصُوب
ت و ب	63	تَابَ	يَتُوبُ	تُبْ	تَوْب	تَائِب	مَتُوب
و ف ي	61	وَفَى	يَفِي	فِ	وَفَاء	وَافٍ	مَوْفِيّ
ت ل و	61	تَلَا	يَتْلُو	اُتْلُ	تُلُوّ	تَالٍ	مَتْلُوّ
م و ت	60	مَاتَ	يَمُوتُ	مُتْ	مَوْت	مَائِت	مَمُوت
ق ض ي	59	قَضَى	يَقْضِي	اِقْضِ	قَضْي	قَاضٍ	مَقْضِيّ
ذ و ق	58	ذَاقَ	يَذُوقُ	ذُقْ	ذَوْق	ذَائِق	مَذُوق
ج ر ي	57	جَرَى	يَجْرِي	اِجْرِ	جَرْي	جَارٍ	مَجْرِيّ
ز ي د	57	زَادَ	يَزِيدُ	زِدْ	زِيَادَة	زَائِد	مَزِيد
ب ي ن	55	بَانَ	يَبِينُ	بِنْ	بَيْن	بَائِن	مَبِين
ف ر ي	51	فَرَى	يَفْرِي	اِفْرِ	فَرْي	فَارٍ	مَفْرِيّ
ن ب ا	51	نَبَأَ	يَنْبَأُ	اِنْبَأْ	NULL	نَابِئ	مَنْبُوء
س و ي	50	سَوَى	يَسْوُيُ	اُسْوُ	سَوْي	سَائٍ	مَسُوي
ن ه ي	49	نَهَى	يَنْهَى	اِنْهَ	نَهْي	نَاهٍ	مَنْهِيّ
غ ن ي	47	غَنَى	يَغْنَى	اِغْنَ	غَنْي	غَانٍ	مَغْنِيّ
ر ض و	46	رَضَا	يَرْضَوُ	اِرْضَ	رَضْو	رَاضٍ	مَرْضُوّ
ن د و	45	نَدَا	يَنْدُو	اُنْدُ	نَدْو	نَادٍ	مَنْدُوّ
و ذ ر	45	وَذَرَ	يَذَرُ	ذَرْ	NULL	وَاذِر	مَوْذُور
ا ذ ن	42	أَذَنَ	يَأْذَنُ	اِئْذَنْ	أَذْن	آذِن	مَأْذُون
ب ا س	42	بَأَسَ	يَبْؤُسُ	اُبْؤُسْ	NULL	بَاءِس	مَبْءُوس
و ك ل	42	وَكَلَ	يَكِلُ	كِلْ	NULL	وَاكِل	مَوْكُول
ن س ي	42	نَسَى	يَنْسَى	اِنْسَ	نَسْي	نَاسٍ	مَنْسِيّ
خ ش ي	40	خَشَى	يَخْشَى	اِخْشَ	خَشْي	خَاشٍ	مَخْشِيّ
ج و ب	37	جَابَ	يَجُوبُ	جُبْ	جَوْب	جَائِب	مَجُوب
ع و د	36	عَادَ	يَعُودُ	عُدْ	عَوْد	عَائِد	مَعُود
س و ا	35	سَاءَ	يَسُوءُ	سُؤْ	سُوء	سَاءٍ	مَسُوء
ك ف ي	32	كَفَى	يَكْفِي	اِكْفِ	كِفَايَة	كَافٍ	مَكْفِيّ
ب ل و	30	بَلَا	يَبْلُو	اُبْلُ	بَلْو	بَالٍ	مَبْلُوّ
ع س ي	30	عَسَى	يَعْسِي	اِعْسِ	عَسْي	عَاسٍ	مَعْسِيّ
ع ل و	29	عَلَا	يَعْلُو	اُعْلُ	عُلُوّ	عَالٍ	مَعْلُوّ
د ر ي	29	دَرَى	يَدْرُيُ	اُدْرُ	دِرَايَة	دَارٍ	مَدْرِيّ
خ ف ي	27	خَفَى	يَخْفَى	اِخْفَ	خَفْي	خَافٍ	مَخْفِيّ
ع ص ي	27	عَصَى	يَعْصِي	اِعْصِ	عَصْي	عَاصٍ	مَعْصِيّ
خ ل و	27	خَلَا	يَخْلُو	اُخْلُ	خَلْو	خَالٍ	مَخْلُوّ
ز ي ن	27	زَانَ	يَزِينُ	زِنْ	زَيْن	زَائِن	مَزِين
ع ف و	27	عَفَا	يَعْفُو	اُعْفُ	عَفْو	عَافٍ	مَعْفُوّ
ب د و	26	بَدَا	يَبْدُو	اُبْدُ	بَدْو	بَادٍ	مَبْدُوّ
و ر ث	25	وَرَثَ	يَرِثُ	رِثْ	وِرْث	وَارِث	مَوْرُوث
ش ر ي	25	شَرَى	يَشْرِي	اِشْرِ	شِرًى	شَارٍ	مَشْرِيّ
ر ج و	25	رَجَا	يَرْجُو	اُرْجُ	رَجَاء	رَاجٍ	مَرْجُوّ
ا خ ر	24	أَخَرَ	يَأْخُرُ	اُؤْخُرْ	NULL	آخِر	مَأْخُور
ك و د	24	كَادَ	يَكَادُ	كُدْ	كَوْد	كَائِد	مَكُود
غ ش و	23	غَشَا	يَغْشَوُ	اِغْشَ	غَشْو	غَاشٍ	مَغْشُوّ
س ق ي	22	سَقَى	يَسْقِي	اِسْقِ	سَقْي	سَاقٍ	مَسْقِيّ
ع د و	22	عَدَا	يَعْدُو	اُعْدُ	عَدْو	عَادٍ	مَعْدُوّ
و ه ب	22	وَهَبَ	يَهَبُ	هَبْ	وَهْب	وَاهِب	مَوْهُوب
و ص ي	22	وَصَى	يَصِي	صِ	وَصْي	وَاصٍ	مَوْصِيّ
و ض ع	22	وَضَعَ	يَضَعُ	ضَعْ	وَضْعٌ	وَاضِع	مَوْضُوع
ن ش ا	21	نَشَأَ	يَنْشَأُ	اِنْشَأْ	NULL	نَاشِئ	مَنْشُوء
ز ك و	21	زَكَا	يَزْكُو	اُزْكُ	زَكْو	زَاكٍ	مَزْكُوّ
ه ز ا	21	هَزَأَ	يَهْزَأُ	اِهْزَأْ	NULL	هَازِئ	مَهْزُوء
س ي ر	21	سَارَ	يَسِيرُ	سِرْ	سَيْر	سَائِر	مَسِير
م ش ي	21	مَشَى	يَمْشِي	اِمْشِ	مَشْي	مَاشٍ	مَمْشِيّ
ص ل ي	20	صَلَى	يَصْلَى	اِصْلَ	صَلْي	صَالٍ	مَصْلِيّ
س ع ي	20	سَعَى	يَسْعَى	اِسْعَ	سَعْي	سَاعٍ	مَسْعِيّ
